log_likelihood,log_likelihood_null,AIC,BIC,McFadden_pseudo_R2,converged,n_predictors,n_tests,specification,dropped_predictor
-1480.326532132418,-2109.4717892040244,3128.653064264836,3553.8051510853124,0.2982477700301479,True,13,78,A_primary,
-1485.8677115423918,-2109.4717892040244,3127.7354230847836,3522.519503703798,0.29562096106387825,True,12,72,drop_ATT,ATT
-1483.6935922590565,-2109.4717892040244,3123.387184518113,3518.171265137127,0.29665160735858687,True,12,72,drop_CON,CON
-1521.501233091115,-2109.4717892040244,3199.00246618223,3593.786546801244,0.27872880743039985,True,12,72,drop_SNO,SNO
-1483.6146213995346,-2109.4717892040244,3123.229242799069,3518.0133234180835,0.2966890436779186,True,12,72,drop_COVID,COVID
-1533.7368074719666,-2109.4717892040244,3223.473614943933,3618.2576955629474,0.2729285049833742,True,12,72,drop_PU,PU
-1494.7796240264752,-2109.4717892040244,3145.5592480529504,3540.3433286719646,0.29139624825677024,True,12,72,drop_PEU,PEU
-1485.1591328338263,-2109.4717892040244,3126.3182656676527,3521.102346286667,0.29595686444603864,True,12,72,drop_PO,PO
-1555.794684502956,-2109.4717892040244,3267.589369005912,3662.3734496249263,0.26247191715703844,True,12,72,drop_PRI,PRI
