profile,reference_profile,predictor,beta,SE,z,p,OR,CI_lower,CI_upper,p_FDR,significant_FDR,specification,dropped_predictor
3,0,Occupation,-0.05591104435141947,0.057513830989073166,-0.9721321530823046,0.33098480817671716,0.945623250678675,0.8448145416169794,1.0584611037975202,0.5282372418134926,False,drop_CON,CON
3,0,income,0.0536979388717819,0.111140496694529,0.4831536700737566,0.6289866285768838,1.0551658294321842,0.8486253833331905,1.311974576141298,0.798434171559928,False,drop_CON,CON
4,0,ATT,-0.24894675356073637,0.16017067974956906,-1.554259206179127,0.12012259996034122,0.7796214843475501,0.569565616002887,1.0671459824449732,0.2789944257143409,False,drop_CON,CON
4,0,SNO,-0.6252962075836399,0.19254771212070304,-3.247487080976887,0.001164289496608001,0.5351029035039478,0.3668912767922832,0.7804358823730361,0.005987774553984005,True,drop_CON,CON
4,0,COVID,-0.15038260340405288,0.19032972056312525,-0.790116241221384,0.4294598856923627,0.8603787296128741,0.5924855137091491,1.24940026590026,0.644189828538544,False,drop_CON,CON
4,0,PU,-0.23109155910133167,0.19077283334153128,-1.2113441681060517,0.22576352766143049,0.7936667952899259,0.5460709795826744,1.1535258336327945,0.4063743497905749,False,drop_CON,CON
4,0,PEU,-0.1594837137072781,0.12973480766055337,-1.2293055085460312,0.21895728273541215,0.8525838527135481,0.6611570077361303,1.0994351075501034,0.40422882966537627,False,drop_CON,CON
4,0,PO,0.019363529990197605,0.14146830457959708,0.13687539444075775,0.8911292881531314,1.019552219064794,0.7726614100514345,1.3453327859751,0.9780632577146036,False,drop_CON,CON
4,0,PRI,-0.7708786001392935,0.19075364664118552,-4.0412260195965946,5.317247905713253e-05,0.46260644362132713,0.3183016542533473,0.6723330489185532,0.0003190348743427952,True,drop_CON,CON
4,0,age,0.025431818833739978,0.01329913080804018,1.9122918031879805,0.055838776600443736,1.0257579665117271,0.9993657236882993,1.0528472019022805,0.1546304582781519,False,drop_CON,CON
4,0,gender,-0.26726170235055885,0.18606957575811994,-1.4363535858112781,0.15090175326394942,0.7654727192402795,0.531549968857044,1.1023394191161993,0.3127213020436062,False,drop_CON,CON
4,0,Education,-0.009061957184973936,0.13977085564724034,-0.06483438298356627,0.9483058653678478,0.9909789786029298,0.7535101170577525,1.3032861985549666,0.985256007707097,False,drop_CON,CON
4,0,Occupation,-0.05011580326076495,0.053050479121611906,-0.9446814447402151,0.34482153285047434,0.9511192754095563,0.8571908049022838,1.055340154003079,0.5282372418134926,False,drop_CON,CON
4,0,income,0.22871309413976781,0.10712179088145415,2.135075340486719,0.03275485654554097,1.25698135195462,1.018931352049629,1.5506462883720424,0.09433398685115801,False,drop_CON,CON
5,0,ATT,-0.904563856881644,0.32124378584465707,-2.815817446875257,0.004865330391501339,0.4047183617440321,0.2156277630492483,0.7596283058196118,0.019461321566005357,True,drop_CON,CON
5,0,SNO,-2.5474202771058114,0.36903709142442814,-6.902884117347525,5.095719804745556e-12,0.0782833551016949,0.03797857947203161,0.16136158253341426,1.8344591297084e-10,True,drop_CON,CON
