profile,reference_profile,predictor,beta,SE,z,p,OR,CI_lower,CI_upper,p_FDR,significant_FDR,specification
1,0,ATT,-0.5341539565151613,0.19543142128044597,-2.7332040723822257,0.006272145755752027,0.586165001499103,0.3996366409969487,0.8597545213204483,0.027179298274925448,True,standardized_continuous
1,0,CON,-0.09393146074709141,0.21348061362673074,-0.43999995667676817,0.6599371386988946,0.9103451544793608,0.5990839961180328,1.3833257200226954,0.8044798370374663,False,standardized_continuous
1,0,SNO,-1.3713496951798514,0.23933024902829603,-5.7299472204105575,1.0046188795778803e-08,0.253764223960643,0.15874804070911724,0.40565087338837913,1.3060045434512445e-07,True,standardized_continuous
1,0,COVID,-0.3803205367718336,0.2203428125006382,-1.7260401301754829,0.08434019339259113,0.6836422416113795,0.44388380587747694,1.0529032785765489,0.223293452715059,False,standardized_continuous
1,0,PU,-1.1740505966602295,0.22696482640453855,-5.17283058903418,2.3057405259565714e-07,0.30911231268234907,0.1981161792627208,0.48229489488145955,1.7984776102461259e-06,True,standardized_continuous
1,0,PEU,-0.5614242995236143,0.18384569699945025,-3.0537799289656102,0.0022597778553949915,0.5703960701619898,0.3978175222505657,0.8178414943002902,0.011016417045050584,True,standardized_continuous
1,0,PO,-0.11100949844725366,0.20152484378348137,-0.5508477087148741,0.5817380761796163,0.8949302484408999,0.6029034613938257,1.3284052934825177,0.7562594990335011,False,standardized_continuous
1,0,PRI,-1.5522475815772871,0.2035006998164411,-7.627726012625137,2.3893068431198132e-14,0.211771464887905,0.14211638374743754,0.31556638410156423,1.863659337633454e-12,True,standardized_continuous
1,0,age,-0.12335800529892704,0.18829905844564754,-0.6551174834181887,0.5123921163565639,0.8839471481442752,0.6111430884865701,1.2785263802088596,0.7266651831965816,False,standardized_continuous
1,0,gender,-0.42019301878162135,0.29196242011324214,-1.4392024104288592,0.15009318266539948,0.6569200096771908,0.37067138551916734,1.1642223165131946,0.34453391265333144,False,standardized_continuous
1,0,Education,-0.23746948516025526,0.14331353085322943,-1.6569927748375206,0.0975209358577762,0.788620955255985,0.5954939762824909,1.0443816996292068,0.2453752579647272,False,standardized_continuous
1,0,Occupation,-0.21817383161062937,0.1684077800062151,-1.2955092193637234,0.19514462305279845,0.8039856713944844,0.5779585761590997,1.118407073571483,0.38053201495295697,False,standardized_continuous
1,0,income,0.004112399464736632,0.1403719736213164,0.029296442577851863,0.9766281640977466,1.0041208669827086,0.7626037845839565,1.3221265562695426,0.9901820138436779,False,standardized_continuous
2,0,ATT,0.03379332475285517,0.20277942884653877,0.16665065556738293,0.8676449335997156,1.0343708057932717,0.6951314213775638,1.5391664525207653,0.9668043545825402,False,standardized_continuous
2,0,CON,-0.01074057246347691,0.22325495572810286,-0.048108999096788736,0.9616293742696781,0.9893169015330299,0.6387000847708468,1.532406140215357,0.9901820138436779,False,standardized_continuous
2,0,SNO,0.6327420035864573,0.2873117619091843,2.202283677430718,0.02764527644669047,1.882766059148664,1.0720910033652205,3.306443223901031,0.08984714845174402,False,standardized_continuous
2,0,COVID,-0.05406037705473406,0.23458448726738682,-0.23045162825755963,0.8177408469781988,0.9473749050684916,0.5981905249982878,1.5003902155690323,0.9379968538867575,False,standardized_continuous
2,0,PU,1.3461572567415312,0.24672134327370396,5.456184855674006,4.864734863391233e-08,3.8426308789735764,2.369273632336806,6.232210526682717,4.4080994825349945e-07,True,standardized_continuous
2,0,PEU,0.10329305542332191,0.17072320383672654,0.6050323160647081,0.5451575246756337,1.1088163060992349,0.7934819995924065,1.5494662781299442,0.7460050337666566,False,standardized_continuous
2,0,PO,0.0868377622328031,0.19641562621508452,0.44211228966941557,0.6584079516308844,1.0907197094327379,0.7421997515165859,1.6028966354598013,0.8044798370374663,False,standardized_continuous
2,0,PRI,1.4320647522860304,0.23730936709643513,6.034590078798212,1.5936671347378037e-09,4.18733608408542,2.6298804602414814,6.667140862924938,2.4861207301909737e-08,True,standardized_continuous
2,0,age,0.1074401788166258,0.14398954639784073,0.7461665204484385,0.45556682968520945,1.1134242523978848,0.8396422824075884,1.4764782477045306,0.6704568436876668,False,standardized_continuous
2,0,gender,-0.2919219262102115,0.2798971283285707,-1.0429614907214229,0.29696612848430737,0.7468268412990846,0.43148596384589194,1.292626823624725,0.5147412893727994,False,standardized_continuous
2,0,Education,-0.0653465419016756,0.14109936773229487,-0.4631242715818284,0.6432752933497696,0.9367427864969673,0.7104183176495292,1.235169513868016,0.8044798370374663,False,standardized_continuous
2,0,Occupation,0.06483725403723069,0.15765068544264563,0.4112716278726166,0.6808733713543227,1.066985362693094,0.7833637829391225,1.4532938450765556,0.8170480456251873,False,standardized_continuous
2,0,income,-0.015564307786780324,0.14025965860174744,-0.1109678145657943,0.9116418693224798,0.9845561900863322,0.7479095441162388,1.2960803870777442,0.9901820138436779,False,standardized_continuous
3,0,ATT,-0.34257563328248014,0.14132117207592498,-2.4240927827744803,0.01534668400631589,0.7099394223060626,0.5381784240687834,0.9365183753257432,0.05204527619533215,False,standardized_continuous
3,0,CON,0.1920677942425636,0.15147417408222671,1.267990371337499,0.20480138910450685,1.2117526640343526,0.9004851665526498,1.6306148877672813,0.38392477879779285,False,standardized_continuous
3,0,SNO,-0.9418162137257924,0.17286525144782502,-5.448267976575128,5.086268633694224e-08,0.3899190156011972,0.2778616067850821,0.5471674927907647,4.4080994825349945e-07,True,standardized_continuous
