K,profile,N,percentage,mean_INT,mean_BE,INT_minus_BE
2,0,871,74.69982847341338,4.2353616532721015,4.053386911595867,0.1819747416762345
2,1,295,25.300171526586624,2.87457627118644,3.006779661016949,-0.13220338983050883
3,0,758,65.00857632933105,4.334212840809147,4.054089709762533,0.2801231310466141
3,1,320,27.4442538593482,3.0489583333333337,3.028125,0.02083333333333348
3,2,88,7.547169811320755,3.1363636363636362,4.267045454545454,-1.130681818181818
4,0,124,10.634648370497427,5.0,4.465725806451613,0.534274193548387
4,1,487,41.76672384219554,3.7214236824093083,3.6175564681724848,0.10386721423682355
4,2,169,14.493996569468267,2.6745562130177514,2.6050295857988166,0.06952662721893477
4,3,386,33.104631217838765,4.281519861830743,4.305051813471502,-0.023531951640759274
5,0,598,51.286449399656945,4.142140468227424,3.9862040133779266,0.1559364548494977
5,1,211,18.096054888507716,3.4091627172195893,3.4549763033175354,-0.04581358609794606
5,2,124,10.634648370497427,5.0,4.465725806451613,0.534274193548387
5,3,177,15.180102915951974,2.7269303201506587,2.6610169491525424,0.06591337099811634
5,4,56,4.802744425385934,4.25,5.0,-0.75
6,0,124,10.634648370497427,5.0,4.465725806451613,0.534274193548387
6,1,377,32.3327615780446,3.336870026525199,3.559681697612732,-0.22281167108753275
6,2,262,22.46998284734134,4.478371501272264,3.95706106870229,0.5213104325699738
6,3,90,7.718696397941681,2.333333333333333,2.3444444444444446,-0.011111111111111516
6,4,54,4.631217838765009,4.438271604938272,4.912037037037037,-0.473765432098765
6,5,259,22.21269296740995,4.0,3.8947876447876446,0.10521235521235539
