profile,N,percentage,ATT_mean,ATT_SD,ATT_median,ATT_IQR,CON_mean,CON_SD,CON_median,CON_IQR,SNO_mean,SNO_SD,SNO_median,SNO_IQR,COVID_mean,COVID_SD,COVID_median,COVID_IQR,INT_mean,INT_SD,INT_median,INT_IQR,BE_mean,BE_SD,BE_median,BE_IQR,PU_mean,PU_SD,PU_median,PU_IQR,PEU_mean,PEU_SD,PEU_median,PEU_IQR,PO_mean,PO_SD,PO_median,PO_IQR,PRI_mean,PRI_SD,PRI_median,PRI_IQR,INT_minus_BE,GAP_mean
0,124,10.634648370497427,4.174731182795699,0.6753682921491835,4.333333333333333,1.0000000000000004,4.454301075268817,0.6237322136058957,4.666666666666667,1.0,4.733870967741935,0.44777849470985154,5.0,0.33333333333333304,4.615591397849463,0.48471553571839904,4.833333333333334,0.666666666666667,5.0,0.0,5.0,0.0,4.465725806451613,0.5906922676834109,4.5,1.0,4.529569892473117,0.4938869243882152,4.666666666666667,0.666666666666667,4.084677419354839,0.925522867368794,4.0,1.5,4.358870967741935,0.8638175899712689,4.5,1.0,4.53494623655914,0.5390254319017337,4.666666666666667,1.0,0.534274193548387,0.5517464056577344
1,377,32.3327615780446,3.4438549955791333,0.6939357330566228,3.333333333333333,1.0,3.687002652519894,0.69607070461295,3.6666666666666665,0.666666666666667,3.6436781609195403,0.6255510328707697,3.6666666666666665,0.666666666666667,3.711759504862953,0.6789865195873291,3.6666666666666665,0.666666666666667,3.336870026525199,0.37660513826285785,3.333333333333333,0.6666666666666665,3.559681697612732,0.5863749113937294,3.5,1.0,3.57736516357206,0.6399665800418252,3.6666666666666665,0.666666666666667,3.3554376657824934,0.8503305877546289,3.5,1.0,3.547745358090186,0.7729478381604797,3.5,1.0,3.7108753315649867,0.5584533850676475,4.0,0.666666666666667,-0.22281167108753275,-0.4209703769109993
2,262,22.46998284734134,3.9198473282442747,0.6379015008881236,4.0,0.6666666666666665,4.110687022900764,0.5930312944772959,4.0,1.0000000000000004,4.296437659033078,0.5950663042771893,4.333333333333333,0.666666666666667,4.237913486005088,0.5495965989754903,4.333333333333333,0.666666666666667,4.478371501272264,0.16557361438816434,4.333333333333333,0.3333333333333339,3.95706106870229,0.472234587715543,4.0,0.5,4.104325699745547,0.5428963359745187,4.0,0.6666666666666665,3.895038167938931,0.7320352922064012,4.0,1.0,4.07824427480916,0.730155057185901,4.0,1.0,4.216284987277353,0.5152814440445624,4.0,0.666666666666667,0.5213104325699738,0.5443788092064684
3,90,7.718696397941681,2.3703703703703702,0.6269925928364475,2.333333333333333,0.6666666666666665,2.522222222222222,0.6797407157873699,2.6666666666666665,1.0,2.3518518518518516,0.7649649100682547,2.333333333333333,0.9999999999999998,2.681481481481481,0.7977983298170999,2.6666666666666665,1.0,2.333333333333333,0.514460069923379,2.333333333333333,0.6666666666666665,2.3444444444444446,0.5008108282005754,2.5,0.75,2.5259259259259257,0.6959446965590071,2.6666666666666665,1.0,2.4277777777777776,0.6973509711965089,2.5,1.0,2.3944444444444444,0.7551115865319883,2.5,1.0,2.796296296296296,0.7338684537958864,3.0,1.0,-0.011111111111111516,-0.1213130683759609
4,54,4.631217838765009,3.9938271604938262,0.7425118588603008,4.0,1.0000000000000004,4.2407407407407405,0.658492868709419,4.333333333333333,0.666666666666667,4.604938271604938,0.5018793781017832,4.666666666666667,0.666666666666667,4.444444444444444,0.6004889691713213,4.666666666666667,1.0,4.438271604938272,0.1562677119396708,4.333333333333333,0.3333333333333339,4.912037037037037,0.12050803824484588,5.0,0.25,4.351851851851852,0.49912572061109184,4.333333333333333,0.5833333333333339,4.12962962962963,0.7408892234131036,4.5,1.0,4.175925925925926,0.8750062393707861,4.25,1.5,4.697530864197531,0.651617946090149,5.0,0.33333333333333304,-0.473765432098765,-0.7745282754088731
5,259,22.21269296740995,3.696267696267696,0.5633653374383404,3.6666666666666665,0.666666666666667,3.9665379665379663,0.5409142901906506,4.0,0.6666666666666665,4.055341055341056,0.5847108150492639,4.0,0.6666666666666665,4.048906048906049,0.5421210419526089,4.0,0.6666666666666665,4.0,0.0,4.0,0.0,3.8947876447876446,0.506050459078518,4.0,0.375,3.976833976833977,0.4807890060799755,4.0,0.6666666666666665,3.718146718146718,0.684616993656127,4.0,1.0,3.8745173745173744,0.6937478672969933,4.0,0.5,4.051480051480051,0.5074052797569555,4.0,0.0,0.10521235521235539,0.001562674933235664
