metric,value
K,6
N,1166
n_bootstrap,200
n_successful_bootstraps,200
bootstrap_seed_base,42
n_init_primary,1000
n_init_bootstrap,100
covariance_type,full
original_LL,-941.0133699246958
original_BIC,2129.1734426912567
bootstrap_mean_LL,-1105.8719153080947
bootstrap_SD_LL,593.0207893805499
bootstrap_mean_matching_cost,2.59943545288815
split_sample_seed,42
split_half_1_n,583
split_half_2_n,583
split_matching_cost,2.7129686482518465
