half,n_respondents,profile,log_likelihood,BIC,AIC,entropy,size,mean_zINT,mean_zBE
half_1,583,0,-723.672639437928,1670.231830398123,1517.345278875856,1.1060604924813349,71,-1.1720516915834949,-0.7417287673706268
half_1,583,1,-723.672639437928,1670.231830398123,1517.345278875856,1.1060604924813349,38,1.172002698038969,1.538967032506883
half_1,583,2,-723.672639437928,1670.231830398123,1517.345278875856,1.1060604924813349,179,0.9101235688438216,0.31774684359664956
half_1,583,3,-723.672639437928,1670.231830398123,1517.345278875856,1.1060604924813349,131,-0.469908782108117,-0.2153932473609017
half_1,583,4,-723.672639437928,1670.231830398123,1517.345278875856,1.1060604924813349,139,0.13959353319810422,0.21844496712223713
half_1,583,5,-723.672639437928,1670.231830398123,1517.345278875856,1.1060604924813349,25,-2.20213928693339,-1.7137352902656517
half_2,583,0,-535.6806419824178,1294.2478354871027,1141.3612839648356,1.130946498804153,59,0.9448744572426789,1.57752265537208
half_2,583,1,-535.6806419824178,1294.2478354871027,1141.3612839648356,1.130946498804153,38,-0.5526457700455458,0.7582519764539881
half_2,583,2,-535.6806419824178,1294.2478354871027,1141.3612839648356,1.130946498804153,118,0.14505124575099587,0.03276264932626259
half_2,583,3,-535.6806419824178,1294.2478354871027,1141.3612839648356,1.130946498804153,45,-1.5784096199948967,-1.4734086298163713
half_2,583,4,-535.6806419824178,1294.2478354871027,1141.3612839648356,1.130946498804153,151,-0.6203818611655524,-0.5202859734433539
half_2,583,5,-535.6806419824178,1294.2478354871027,1141.3612839648356,1.130946498804153,172,0.896422614242531,0.2626323655007205
