profile,N,mean_INT,mean_BE,INT_minus_BE,mean_GAP,INT_gt_BE,BE_gt_INT,INT_eq_BE,direction
0,124,5.0,4.465725806451613,0.534274193548387,0.5517464056577344,True,False,False,INT_gt_BE
1,377,3.336870026525199,3.559681697612732,-0.22281167108753275,-0.4209703769109993,False,True,False,BE_gt_INT
2,262,4.478371501272264,3.95706106870229,0.5213104325699738,0.5443788092064684,True,False,False,INT_gt_BE
3,90,2.333333333333333,2.3444444444444446,-0.011111111111111516,-0.1213130683759609,False,True,False,BE_gt_INT
4,54,4.438271604938272,4.912037037037037,-0.473765432098765,-0.7745282754088731,False,True,False,BE_gt_INT
5,259,4.0,3.8947876447876446,0.10521235521235539,0.001562674933235664,True,False,False,INT_gt_BE
