profile,N,INT_variance,BE_variance,INT_min,INT_max,BE_min,BE_max,prop_INT_at_max
0,124,0.0,0.3489173551009703,5.0,5.0,2.75,5.0,1.0
1,377,0.14183143016598626,0.343835536712004,1.0,3.6666666666666665,2.0,5.0,
2,262,0.027414621781560546,0.22300550583486886,4.333333333333333,4.666666666666667,2.5,4.75,
3,90,0.26466916354556796,0.2508114856429463,1.0,3.0,1.0,3.0,
4,54,0.02441959779485993,0.014522187281621237,4.333333333333333,4.666666666666667,4.75,5.0,
5,259,0.0,0.25608706713357876,4.0,4.0,2.25,5.0,
