metric,value,source
K_2_n_profiles,2,results/15_profile_structure_comparison/all_k_profile_structure.csv
K_6_n_profiles,6,results/15_profile_structure_comparison/all_k_profile_structure.csv
n_split_rows,14,results/15_profile_structure_comparison/profile_split_comparison.csv
