K,min_N,max_N,min_percentage,max_percentage
2,295,871,25.300171526586624,74.69982847341338
3,88,758,7.547169811320755,65.00857632933105
4,124,487,10.634648370497427,41.76672384219554
5,56,598,4.802744425385934,51.286449399656945
6,54,377,4.631217838765009,32.3327615780446
