profile,N,INT_mean,INT_SD,BE_mean,BE_SD,ATT_mean,ATT_SD,CON_mean,CON_SD,SNO_mean,SNO_SD,COVID_mean,COVID_SD,PU_mean,PU_SD,PEU_mean,PEU_SD,PO_mean,PO_SD,PRI_mean,PRI_SD
0,281,4.468564650059311,0.16396729455115983,4.01067615658363,0.4976479375531357,3.915776986951365,0.6494993487724293,4.109134045077105,0.6100608230016057,4.31079478054567,0.5881485958750585,4.241992882562277,0.5548846426202728,4.1079478054567025,0.5439166636062366,3.919928825622776,0.7366633234110227,4.074733096085409,0.743857237124279,4.243179122182681,0.5230575706035949
1,125,2.8960000000000004,0.15505808831753407,2.978,0.47308186565636107,2.9653333333333336,0.6757764683128942,3.1919999999999997,0.746874011149448,3.1173333333333333,0.7162426852885765,3.253333333333333,0.7238883456152355,3.149333333333333,0.6184962687103313,3.0,0.7378040652569471,2.952,0.6910254185138619,3.258666666666667,0.5517388608837691
2,108,4.5925925925925934,0.4872908840484344,5.0,0.0,4.138888888888889,0.7627422244340348,4.3580246913580245,0.6210293664097617,4.697530864197531,0.5246509734083332,4.5246913580246915,0.5603805703275506,4.645061728395062,0.4257377645089428,4.268518518518518,0.857691767407242,4.481481481481482,0.7101596698371467,4.774691358024692,0.559685239577795
3,264,3.523989898989899,0.16524434386755246,3.596590909090909,0.5305744494950404,3.5366161616161613,0.6547781526667749,3.808080808080809,0.6015347391900218,3.7588383838383836,0.5307663167050303,3.8345959595959593,0.5857035720588006,3.6805555555555554,0.54634850654775,3.422348484848485,0.8102436941291321,3.647727272727273,0.739279878682785,3.7929292929292933,0.49676656735575686
4,245,4.0,0.0,3.8316326530612246,0.4434974030029843,3.706122448979592,0.5660263768250889,3.9768707482993193,0.5448134354909658,4.043537414965986,0.5804261703580048,4.054421768707483,0.5421527401898857,3.9442176870748296,0.46564035051172614,3.73265306122449,0.6425448109340028,3.86734693877551,0.6952378278955353,3.9972789115646257,0.4665415881702672
5,70,2.1142857142857143,0.5197723838690318,2.732142857142857,1.0463198347959244,2.561904761904762,0.952229111429242,2.566666666666666,0.9015106305913664,2.4047619047619047,0.9288589386964627,2.6857142857142855,0.9528087376032958,2.5,0.8860158884519915,2.4285714285714284,0.9566158432911357,2.642857142857143,1.0637057766582196,2.9095238095238094,0.9007447778474298
6,73,5.0,0.0,4.092465753424658,0.502609249654899,3.977168949771689,0.5701655789483916,4.36986301369863,0.6049223086418978,4.621004566210045,0.46585600386480464,4.534246575342466,0.5083856258087988,4.319634703196347,0.4951566536142556,3.712328767123288,0.9201366452687961,4.075342465753424,0.9525959884438896,4.397260273972603,0.4958392755528632
